Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif; 
2025-01-31 14:00:00 CEST;"72;390625";85,0kWh;"31;3125";"0;0859375";0,0kWh;"7;7138671875";"51;6875";"32;125";0,0kWh;"9;751953125";"9;888671875";0,0kWh;
2025-01-31 15:00:00 CEST;"33;09375";"72;75";"2;6875";"0;0859375";0,0kWh;"7;859375";"46;625";"22;25";0,0kWh;"5;619140625";"9;69140625";0,0kWh;
2025-01-31 16:00:00 CEST;"22;296875";"33;125";0,0kWh;"0;09375";0,0kWh;"8;0654296875";"52;3359375";"31;15625";0,0kWh;"5;57421875";"9;947265625";0,0kWh;
2025-01-31 17:00:00 CEST;"7;453125";"42;25";0,0kWh;"0;09375";0,0kWh;"7;8056640625";"20;09375";"4;53125";0,0kWh;"6;525390625";"8;8828125";0,0kWh;
2025-01-31 18:00:00 CEST;"0;3125";"28;625";0,0kWh;"0;0859375";0,0kWh;"7;853515625";"4;3125";0,0kWh;0,0kWh;"6;37890625";"8;9765625";0,0kWh;
2025-01-31 19:00:00 CEST;"0;3125";"25;5";0,0kWh;"0;0859375";0,0kWh;"8;44921875";0,0kWh;0,0kWh;0,0kWh;"5;80078125";"8;4296875";0,0kWh;
2025-01-31 20:00:00 CEST;"0;3125";"9;625";0,0kWh;"0;09375";0,0kWh;"4;744140625";0,0kWh;0,0kWh;0,0kWh;"6;23046875";"8;65234375";0,0kWh;
2025-01-31 21:00:00 CEST;"0;3125";"4;75";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;294921875";"8;904296875";0,0kWh;
2025-01-31 22:00:00 CEST;"0;296875";5,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;17578125";"6;056640625";0,0kWh;
2025-01-31 23:00:00 CEST;"0;125";2,0kWh;0,0kWh;"0;0390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;484375";"2;40234375";0,0kWh;
2025-02-01 00:00:00 CEST;"0;3125";"5;125";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;234375";"6;298828125";0,0kWh;
2025-02-01 01:00:00 CEST;"0;296875";"5;5";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;2265625";"11;150390625";0,0kWh;
2025-02-01 02:00:00 CEST;"0;296875";"5;125";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;296875";"8;765625";0,0kWh;
2025-02-01 03:00:00 CEST;"0;3125";"4;875";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;28515625";"9;0703125";0,0kWh;
2025-02-01 04:00:00 CEST;"0;296875";"5;25";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;201171875";"8;84375";0,0kWh;
2025-02-01 05:00:00 CEST;"0;296875";"5;375";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"13;2109375";"8;673828125";0,0kWh;
2025-02-01 06:00:00 CEST;"0;3125";5,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"7;5390625";"8;978515625";0,0kWh;
2025-02-01 07:00:00 CEST;"0;3125";"6;125";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;802734375";"9;080078125";0,0kWh;
2025-02-01 08:00:00 CEST;"0;3125";"6;625";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;9765625";"8;873046875";0,0kWh;
2025-02-01 09:00:00 CEST;"35;390625";"5;875";0,0kWh;"0;0859375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;984375";"8;998046875";0,0kWh;
2025-02-01 10:00:00 CEST;"65;875";"0;125";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;583984375";"8;87890625";0,0kWh;
2025-02-01 11:00:00 CEST;"32;8125";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;3359375";"8;53515625";0,0kWh;
2025-02-01 12:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;3125";"8;8125";0,0kWh;
2025-02-01 13:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"5;962890625";"8;224609375";0,0kWh;
2025-02-01 14:00:00 CEST;"0;265625";0,0kWh;0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;326171875";"9;234375";0,0kWh;
2025-02-01 15:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;46484375";"8;470703125";0,0kWh;
2025-02-01 16:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;576171875";"8;619140625";0,0kWh;
2025-02-01 17:00:00 CEST;"0;265625";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;486328125";"8;833984375";0,0kWh;
2025-02-01 18:00:00 CEST;"0;265625";0,0kWh;0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;79296875";"8;787109375";0,0kWh;
2025-02-01 19:00:00 CEST;"0;265625";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"6;408203125";"8;625";0,0kWh;
2025-02-01 20:00:00 CEST;"0;265625";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"5;67578125";"8;724609375";0,0kWh;
2025-02-01 21:00:00 CEST;"0;265625";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;28515625";"8;7734375";0,0kWh;
2025-02-01 22:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;291015625";"8;578125";0,0kWh;
2025-02-01 23:00:00 CEST;"0;109375";0,0kWh;0,0kWh;"0;046875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;5546875";"4;134765625";0,0kWh;
2025-02-02 00:00:00 CEST;"0;265625";0,0kWh;0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;28125";"8;798828125";0,0kWh;
2025-02-02 01:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;3046875";"6;70703125";0,0kWh;
2025-02-02 02:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;30859375";"6;181640625";0,0kWh;
2025-02-02 03:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;396484375";"6;05078125";0,0kWh;
2025-02-02 04:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;30078125";"6;021484375";0,0kWh;
2025-02-02 05:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;240234375";"6;3515625";0,0kWh;
2025-02-02 06:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;333984375";"6;06640625";0,0kWh;
2025-02-02 07:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;306640625";"6;015625";0,0kWh;
2025-02-02 08:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;392578125";"9;9921875";0,0kWh;
2025-02-02 09:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;30078125";"6;029296875";0,0kWh;
2025-02-02 10:00:00 CEST;"0;25";0,0kWh;0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;298828125";"6;029296875";0,0kWh;
2025-02-02 11:00:00 CEST;"16;65625";"18;875";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;19140625";"5;9609375";0,0kWh;
2025-02-02 12:00:00 CEST;"9;890625";"19;25";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;28515625";"6;15625";0,0kWh;
2025-02-02 13:00:00 CEST;"8;6875";"17;5";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;2890625";"5;75390625";0,0kWh;
2025-02-02 14:00:00 CEST;"9;40625";"16;375";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;294921875";"5;837890625";0,0kWh;
2025-02-02 15:00:00 CEST;"8;8125";15,0kWh;0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;1953125";"6;10546875";0,0kWh;
2025-02-02 16:00:00 CEST;"8;546875";"10;375";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;287109375";"5;87890625";0,0kWh;
2025-02-02 17:00:00 CEST;"8;921875";"9;25";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;27734375";"5;83203125";0,0kWh;
2025-02-02 18:00:00 CEST;"9;140625";"9;25";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;251953125";"5;921875";0,0kWh;
2025-02-02 19:00:00 CEST;"8;96875";"9;125";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;259765625";"6;00390625";0,0kWh;
2025-02-02 20:00:00 CEST;"8;8125";"9;25";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;271484375";"5;853515625";0,0kWh;
2025-02-02 21:00:00 CEST;"9;4375";"9;125";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;28125";"5;8515625";0,0kWh;
2025-02-02 22:00:00 CEST;"9;171875";"9;375";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;3046875";"6;14453125";0,0kWh;
2025-02-02 23:00:00 CEST;"4;421875";"4;75";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;6796875";"3;03515625";0,0kWh;
2025-02-03 00:00:00 CEST;"8;75";"9;25";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;205078125";"5;91015625";0,0kWh;
2025-02-03 01:00:00 CEST;"9;328125";"9;5";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;388671875";"6;0390625";0,0kWh;
2025-02-03 02:00:00 CEST;"9;5625";"9;25";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;306640625";"6;05859375";0,0kWh;
2025-02-03 03:00:00 CEST;"9;359375";"9;375";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;396484375";"5;9921875";0,0kWh;
2025-02-03 04:00:00 CEST;"9;25";"9;25";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;310546875";"5;884765625";0,0kWh;
2025-02-03 05:00:00 CEST;"9;5625";"9;5";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"13;548828125";"10;818359375";0,0kWh;
2025-02-03 06:00:00 CEST;"9;3125";"50;25";0,0kWh;"0;09375";0,0kWh;0,0kWh;"1;8984375";"9;4375";0,0kWh;"13;70703125";"9;974609375";0,0kWh;
2025-02-03 07:00:00 CEST;"78;046875";94,0kWh;"39;375";"2;5859375";0,0kWh;"10;123046875";"5;71875";"29;9375";0,0kWh;"14;029296875";"11;43359375";0,0kWh;
2025-02-03 08:00:00 CEST;"69;640625";"98;125";"36;4375";"10;6171875";0,0kWh;"8;1513671875";"5;28125";"41;375";0,0kWh;"13;908203125";"11;083984375";0,0kWh;
2025-02-03 09:00:00 CEST;"77;421875";"91;25";"33;3125";"5;234375";0,0kWh;"8;1025390625";"39;78125";"38;65625";0,0kWh;"12;67578125";"10;568359375";0,0kWh;
2025-02-03 10:00:00 CEST;"72;484375";"95;75";33,0kWh;"5;59375";0,0kWh;"8;3994140625";"53;46875";"39;46875";0,0kWh;"12;9765625";"11;54296875";0,0kWh;
2025-02-03 11:00:00 CEST;"91;234375";"96;375";"32;875";"7;1484375";0,0kWh;"8;12890625";"52;7734375";"25;90625";0,0kWh;"12;509765625";"10;49609375";0,0kWh;
2025-02-03 12:00:00 CEST;"89;921875";"96;375";"32;5625";"3;6875";0,0kWh;"7;73828125";"57;7421875";"35;4375";0,0kWh;"10;802734375";"10;05859375";0,0kWh;
2025-02-03 13:00:00 CEST;"91;4375";"93;125";"32;5";"8;1875";0,0kWh;"7;7216796875";"57;1328125";"38;15625";0,0kWh;"12;21484375";"10;876953125";0,0kWh;
2025-02-03 14:00:00 CEST;"90;6875";95,0kWh;"32;3125";"8;2734375";0,0kWh;"7;8271484375";"56;3203125";"42;03125";0,0kWh;"12;037109375";"11;890625";0,0kWh;
2025-02-03 15:00:00 CEST;"92;109375";95,0kWh;"32;1875";"7;171875";0,0kWh;"7;7353515625";"58;3359375";"41;90625";0,0kWh;"11;712890625";"11;19921875";0,0kWh;
2025-02-03 16:00:00 CEST;"91;703125";"96;875";"32;3125";"7;1640625";0,0kWh;"7;76953125";"58;3203125";"42;21875";0,0kWh;"11;9140625";"10;71484375";0,0kWh;
2025-02-03 17:00:00 CEST;"93;40625";"97;5";"32;1875";"0;1015625";0,0kWh;"7;7978515625";"58;640625";"42;75";0,0kWh;"11;89453125";"10;08203125";0,0kWh;
2025-02-03 18:00:00 CEST;"89;9375";"100;125";"32;375";"0;078125";0,0kWh;"7;865234375";"41;6171875";"42;0625";0,0kWh;"12;203125";"11;283203125";0,0kWh;
2025-02-03 19:00:00 CEST;"68;796875";"100;875";"32;3125";"0;078125";0,0kWh;"7;82421875";"56;2421875";"42;28125";0,0kWh;"12;349609375";"10;970703125";0,0kWh;
2025-02-03 20:00:00 CEST;"69;5";"101;5";"32;3125";"0;09375";0,0kWh;"5;94921875";"54;9609375";"42;28125";0,0kWh;"12;109375";"10;677734375";0,0kWh;
2025-02-03 21:00:00 CEST;"5;265625";"96;75";"32;4375";"10;3125";0,0kWh;0,0kWh;0,0kWh;"42;28125";0,0kWh;"11;361328125";"9;62890625";0,0kWh;
2025-02-03 22:00:00 CEST;"5;421875";"99;125";"32;4375";"20;609375";0,0kWh;"0;0009765625";0,0kWh;"41;53125";0,0kWh;"10;775390625";"6;482421875";0,0kWh;
2025-02-03 23:00:00 CEST;"2;890625";"56;5";"18;75";"11;1640625";0,0kWh;0,0kWh;0,0kWh;"23;8125";0,0kWh;"6;294921875";"3;578125";0,0kWh;
2025-02-04 00:00:00 CEST;"5;03125";"91;25";"32;375";"22;890625";0,0kWh;0,0kWh;0,0kWh;"37;625";0,0kWh;"12;404296875";"6;650390625";0,0kWh;
2025-02-04 01:00:00 CEST;"4;96875";"94;625";"32;25";"23;9375";0,0kWh;"0;0009765625";0,0kWh;"40;53125";0,0kWh;"12;59375";"6;498046875";0,0kWh;
2025-02-04 02:00:00 CEST;5,0kWh;"97;75";"32;0625";"11;4296875";0,0kWh;0,0kWh;0,0kWh;"5;96875";0,0kWh;"12;02734375";"6;3671875";0,0kWh;
2025-02-04 03:00:00 CEST;"4;828125";"92;25";"32;25";"26;328125";0,0kWh;"0;0009765625";0,0kWh;"1;40625";0,0kWh;"12;498046875";"6;482421875";0,0kWh;
2025-02-04 04:00:00 CEST;"4;9375";"95;875";"32;125";"22;2890625";0,0kWh;0,0kWh;0,0kWh;"1;375";0,0kWh;"12;61328125";"6;408203125";0,0kWh;
2025-02-04 05:00:00 CEST;"5;21875";"90;75";"30;125";"17;2421875";0,0kWh;0,0kWh;0,0kWh;"1;4375";0,0kWh;"12;830078125";"11;107421875";0,0kWh;
2025-02-04 06:00:00 CEST;"4;734375";"63;375";0,0kWh;"0;109375";0,0kWh;"2;2890625";"17;1796875";"12;40625";0,0kWh;"9;16015625";"10;458984375";0,0kWh;
2025-02-04 07:00:00 CEST;"83;40625";"95;75";"37;625";"15;6640625";0,0kWh;"10;0107421875";58,0kWh;"39;84375";0,0kWh;"12;29296875";"11;201171875";0,0kWh;
2025-02-04 08:00:00 CEST;"97;546875";"93;875";"33;3125";"21;625";0,0kWh;"8;6806640625";"55;4765625";"36;75";0,0kWh;"12;978515625";"12;08203125";0,0kWh;
2025-02-04 09:00:00 CEST;"103;359375";"94;625";"32;6875";"22;4765625";0,0kWh;"6;904296875";"20;6328125";"29;71875";0,0kWh;"11;583984375";"11;705078125";0,0kWh;
2025-02-04 10:00:00 CEST;"102;296875";"90;5";"31;9375";"21;4140625";0,0kWh;"0;0009765625";"55;5625";"1;4375";0,0kWh;"11;72265625";"10;439453125";0,0kWh;
2025-02-04 11:00:00 CEST;"105;078125";"96;125";"31;75";"22;7265625";0,0kWh;0,0kWh;"54;6875";"14;125";0,0kWh;"11;84765625";"12;173828125";0,0kWh;
2025-02-04 12:00:00 CEST;"102;953125";"97;625";"41;375";"6;1640625";0,0kWh;0,0kWh;"51;3984375";"1;4375";0,0kWh;"11;23046875";"11;2421875";0,0kWh;
2025-02-04 13:00:00 CEST;"101;671875";"95;75";"39;3125";"24;6796875";0,0kWh;0,0kWh;"54;8671875";"1;3125";0,0kWh;"11;78515625";"10;279296875";0,0kWh;
2025-02-04 14:00:00 CEST;"76;875";"96;75";"39;5625";"20;2421875";0,0kWh;"4;8291015625";"55;03125";"1;34375";0,0kWh;"11;486328125";"10;12109375";"0;15625";
2025-02-04 15:00:00 CEST;"76;765625";"90;375";"36;625";"18;640625";0,0kWh;"8;4375";"52;28125";"1;34375";0,0kWh;"11;669921875";"10;37109375";"0;21875";
2025-02-04 16:00:00 CEST;"52;515625";"66;375";"34;8125";"17;5546875";0,0kWh;"8;5634765625";"53;3359375";"1;375";0,0kWh;"11;421875";"10;1953125";"0;15625";
2025-02-04 17:00:00 CEST;"64;3125";"95;5";"38;5";"1;4453125";0,0kWh;"8;6630859375";"55;6953125";"1;40625";0,0kWh;"12;37109375";"10;767578125";0,0kWh;
2025-02-04 18:00:00 CEST;"77;53125";"100;75";"40;0625";"1;4140625";0,0kWh;"8;845703125";"18;234375";"1;40625";0,0kWh;"11;609375";"10;404296875";0,0kWh;
2025-02-04 19:00:00 CEST;"77;03125";"95;75";38,0kWh;"1;4296875";0,0kWh;"9;4130859375";"5;734375";"16;40625";0,0kWh;"11;7578125";"10;453125";0,0kWh;
2025-02-04 20:00:00 CEST;"70;40625";"96;25";"35;375";"1;453125";0,0kWh;"3;8095703125";"53;9453125";"43;3125";0,0kWh;"12;353515625";"10;580078125";0,0kWh;
2025-02-04 21:00:00 CEST;"4;46875";"92;375";"36;0625";"36;4296875";0,0kWh;0,0kWh;0,0kWh;"43;1875";0,0kWh;"11;763671875";"8;544921875";0,0kWh;
2025-02-04 22:00:00 CEST;"4;78125";"90;375";"41;5";"20;7421875";0,0kWh;0,0kWh;0,0kWh;"41;25";0,0kWh;"11;78125";"6;708984375";0,0kWh;
2025-02-04 23:00:00 CEST;"2;9375";"58;25";"19;625";"12;078125";0,0kWh;0,0kWh;0,0kWh;"27;71875";0,0kWh;"7;953125";"4;1953125";0,0kWh;
2025-02-05 00:00:00 CEST;"4;984375";"95;375";"38;5625";"25;6484375";0,0kWh;"0;0009765625";0,0kWh;"42;5625";0,0kWh;"11;94140625";"6;68359375";0,0kWh;
2025-02-05 01:00:00 CEST;"3;859375";"91;375";"36;8125";"26;171875";0,0kWh;0,0kWh;0,0kWh;"42;15625";0,0kWh;"12;869140625";"6;42578125";0,0kWh;
2025-02-05 02:00:00 CEST;"5;375";"96;125";"38;3125";"14;7421875";0,0kWh;0,0kWh;0,0kWh;"42;34375";0,0kWh;"11;89453125";"6;185546875";0,0kWh;
2025-02-05 03:00:00 CEST;"4;484375";"90;25";"38;875";"27;703125";0,0kWh;0,0kWh;0,0kWh;"42;375";0,0kWh;"12;921875";"6;677734375";0,0kWh;
2025-02-05 04:00:00 CEST;"4;71875";"92;125";"38;0625";"28;1640625";0,0kWh;0,0kWh;"0;0078125";"42;25";0,0kWh;"12;36328125";"6;482421875";0,0kWh;
2025-02-05 05:00:00 CEST;"5;265625";"81;375";"43;5625";"19;0703125";0,0kWh;0,0kWh;0,0kWh;"39;5625";0,0kWh;"13;20703125";"10;203125";0,0kWh;
2025-02-05 06:00:00 CEST;"29;71875";"57;625";0,0kWh;"0;109375";0,0kWh;0,0kWh;"13;5078125";"16;375";0,0kWh;"8;70703125";"9;36328125";0,0kWh;
2025-02-05 07:00:00 CEST;"103;9375";"95;75";34,0kWh;"10;3125";0,0kWh;0,0kWh;"56;3125";"43;0625";0,0kWh;"11;880859375";"9;1640625";"6;1875";
2025-02-05 08:00:00 CEST;"101;921875";"96;875";"48;6875";"25;9140625";0,0kWh;0,0kWh;"55;4765625";"42;9375";0,0kWh;"12;658203125";"10;09765625";"11;78125";
2025-02-05 09:00:00 CEST;"86;453125";66,0kWh;"36;875";"25;6953125";0,0kWh;0,0kWh;"54;25";"42;21875";0,0kWh;"11;216796875";"11;83984375";"12;65625";
2025-02-05 10:00:00 CEST;"81;203125";"49;75";35,0kWh;"25;0625";0,0kWh;"4;0673828125";"54;8125";"40;4375";0,0kWh;"10;67578125";"10;232421875";10,0kWh;
2025-02-05 11:00:00 CEST;"47;078125";"79;125";"35;125";"16;359375";0,0kWh;"8;60546875";"54;796875";"42;25";0,0kWh;"12;134765625";"11;05078125";"13;375";
2025-02-05 12:00:00 CEST;"76;3125";95,0kWh;"45;875";"11;7265625";0,0kWh;"6;53515625";"55;515625";"42;90625";0,0kWh;"11;6328125";"10;326171875";"9;875";
2025-02-05 13:00:00 CEST;"77;171875";96,0kWh;"41;25";"9;921875";0,0kWh;"6;4716796875";"55;5859375";"42;96875";0,0kWh;"11;888671875";"10;48828125";"12;8125";
2025-02-05 14:00:00 CEST;"66;5";"92;125";"40;8125";"21;9765625";0,0kWh;"4;5673828125";"55;4296875";"1;375";0,0kWh;"12;513671875";"10;4453125";"13;40625";
2025-02-05 15:00:00 CEST;"63;796875";"94;625";"44;125";"20;953125";0,0kWh;0,0kWh;"55;7734375";"1;40625";0,0kWh;"11;625";"10;1953125";"13;65625";
2025-02-05 16:00:00 CEST;"62;15625";"94;5";"39;1875";"15;671875";0,0kWh;0,0kWh;"55;8515625";"1;375";0,0kWh;"11;646484375";"10;435546875";"11;03125";
2025-02-05 17:00:00 CEST;"53;765625";"93;625";"46;1875";"1;4375";0,0kWh;0,0kWh;"28;4921875";"1;40625";0,0kWh;"12;30078125";"10;607421875";"13;96875";
2025-02-05 18:00:00 CEST;"44;609375";"96;125";"37;625";"1;4296875";0,0kWh;0,0kWh;"38;2421875";"1;375";0,0kWh;"12;23828125";"10;1875";"5;53125";
2025-02-05 19:00:00 CEST;"46;59375";"97;25";38,0kWh;"1;40625";0,0kWh;0,0kWh;"56;0234375";"2;84375";0,0kWh;"12;31640625";"11;1328125";0,0kWh;
2025-02-05 20:00:00 CEST;"28;890625";"94;375";"34;3125";"3;359375";0,0kWh;0,0kWh;"37;703125";"36;84375";0,0kWh;"12;890625";"10;43359375";0,0kWh;
2025-02-05 21:00:00 CEST;"9;34375";"96;75";"36;1875";"27;640625";0,0kWh;0,0kWh;0,0kWh;"43;9375";0,0kWh;"12;451171875";"9;18359375";0,0kWh;
2025-02-05 22:00:00 CEST;"9;84375";"95;625";"14;6875";"23;5078125";0,0kWh;0,0kWh;0,0kWh;"43;90625";0,0kWh;"13;205078125";"6;892578125";0,0kWh;
2025-02-05 23:00:00 CEST;"6;796875";"67;75";27,0kWh;"16;1953125";0,0kWh;0,0kWh;0,0kWh;"25;15625";0,0kWh;"9;705078125";"4;560546875";0,0kWh;
2025-02-06 00:00:00 CEST;"9;109375";"102;125";"30;9375";"23;2265625";0,0kWh;0,0kWh;0,0kWh;"1;5";0,0kWh;"12;748046875";"6;744140625";0,0kWh;
2025-02-06 01:00:00 CEST;"9;59375";"97;625";"29;625";"23;1171875";0,0kWh;0,0kWh;0,0kWh;"1;46875";0,0kWh;"13;57421875";"6;37109375";0,0kWh;
2025-02-06 02:00:00 CEST;"9;375";"93;375";"29;5625";"14;8515625";0,0kWh;"0;0009765625";0,0kWh;"1;5";0,0kWh;"12;802734375";"6;201171875";0,0kWh;
2025-02-06 03:00:00 CEST;"9;171875";"93;125";"39;9375";"25;78125";0,0kWh;0,0kWh;0,0kWh;"1;46875";0,0kWh;"13;13671875";"6;845703125";0,0kWh;
2025-02-06 04:00:00 CEST;"9;640625";94,0kWh;"37;9375";"26;1171875";0,0kWh;0,0kWh;0,0kWh;"1;46875";0,0kWh;"13;435546875";"6;533203125";0,0kWh;
2025-02-06 05:00:00 CEST;"9;328125";"86;75";"38;25";"22;7890625";0,0kWh;0,0kWh;0,0kWh;"1;5";0,0kWh;"13;802734375";"10;57421875";0,0kWh;
2025-02-06 06:00:00 CEST;"10;109375";"66;125";"0;9375";"0;109375";0,0kWh;0,0kWh;"16;2421875";"7;75";0,0kWh;"10;576171875";"11;44921875";0,0kWh;
2025-02-06 07:00:00 CEST;"78;71875";97,0kWh;"35;5";"16;8984375";0,0kWh;0,0kWh;"56;0859375";"40;96875";0,0kWh;"12;4453125";"10;490234375";0,0kWh;
2025-02-06 08:00:00 CEST;"77;796875";"96;75";"30;75";"25;6171875";0,0kWh;0,0kWh;"54;875";"40;96875";0,0kWh;"13;8359375";"10;84375";0,0kWh;
2025-02-06 09:00:00 CEST;"80;40625";"94;875";"42;625";"23;6953125";0,0kWh;"1;7431640625";"55;109375";"9;875";0,0kWh;"11;46875";"11;830078125";0,0kWh;
2025-02-06 10:00:00 CEST;"75;625";"95;375";"33;875";"21;375";0,0kWh;"9;080078125";"46;6015625";"1;4375";0,0kWh;"12;828125";"10;697265625";0,0kWh;
